feature,importance,model
system,2773.827250456564,random_forest
param,2663.816281155613,random_forest
color,-527.8562643415294,random_forest
systemfusion,29.758502388310458,lasso
systemFV,0,lasso
systemint,29.170415333658887,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,38.44514292588864,lasso
paramRSM,90.06629131980297,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,9.024890685183847,ridge
systemFV,1.5554992535617918,ridge
systemint,8.41561452872894,ridge
colorgreen,1.7601161526760027,ridge
colorred,2.749353987210525,ridge
colorwhite,4.841104063988609,ridge
paramRKU,2.136752605555681,ridge
paramRP,4.305868366847529,ridge
paramRQ,2.8512694600458888,ridge
paramRSK,9.854639841022433,ridge
paramRSM,17.057456613813017,ridge
paramRT,1.743463231050664,ridge
paramRV,8.205461950086901,ridge
paramRZ,5.771545539637623,ridge
paramRZ1MAX,2.4683765917086076,ridge
