feature,importance,model
param,4030.0983092327147,random_forest
system,2756.8956201670094,random_forest
color,-324.54230688981465,random_forest
systemfusion,52.258117147811674,lasso
systemFV,18.987190939270853,lasso
systemint,41.58968292055293,lasso
colorgreen,0,lasso
colorred,9.810750580478556,lasso
colorwhite,0,lasso
paramRKU,31.271037861509168,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,116.279930857544,lasso
paramRSM,122.7412186046203,lasso
paramRT,0,lasso
paramRV,49.12451584355951,lasso
paramRZ,5.640623304202882,lasso
paramRZ1MAX,0,lasso
systemfusion,44.46524946643592,ridge
systemFV,28.153642798300655,ridge
systemint,41.44469598471823,ridge
colorgreen,4.25462444846179,ridge
colorred,15.937180363476328,ridge
colorwhite,2.5553713854322475,ridge
paramRKU,28.94968901726599,ridge
paramRP,8.802341277618993,ridge
paramRQ,20.65658614088758,ridge
paramRSK,89.79729979266008,ridge
paramRSM,95.92898730722625,ridge
paramRT,1.0819355170140528,ridge
paramRV,59.30955525254241,ridge
paramRZ,27.50192142733003,ridge
paramRZ1MAX,7.993156061484913,ridge
