feature,importance,model
param,3909.242696199102,random_forest
system,985.4541770000393,random_forest
color,-594.112522410886,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,73.70074263012847,lasso
paramRSM,41.319458947758214,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.312881051026274,ridge
systemFV,0.11272435695423547,ridge
systemint,0.24796662114987306,ridge
colorgreen,0.11189318669219456,ridge
colorred,0.20945246051215832,ridge
colorwhite,0.2109251830604121,ridge
paramRKU,0.202885275679848,ridge
paramRP,0.14503090070843377,ridge
paramRQ,0.13516326426290187,ridge
paramRSK,1.1728184919378244,ridge
paramRSM,0.8808464958154725,ridge
paramRT,0.16186208273670719,ridge
paramRV,0.6666897633296631,ridge
paramRZ,0.34416732498935193,ridge
paramRZ1MAX,0.23884265718204795,ridge
