feature,importance,model
param,2732.4946962813124,random_forest
system,2255.4545273140297,random_forest
color,-269.7666557766999,random_forest
systemfusion,50.22250902192367,lasso
systemFV,0,lasso
systemint,31.49113435269848,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,80.57799549133715,lasso
paramRSM,97.3820073283224,lasso
paramRT,0,lasso
paramRV,33.854159380728674,lasso
paramRZ,0.9003674734527847,lasso
paramRZ1MAX,0,lasso
systemfusion,34.60980858004514,ridge
systemFV,13.544219096461662,ridge
systemint,29.711105884237114,ridge
colorgreen,7.2711356234080124,ridge
colorred,6.539741702228055,ridge
colorwhite,8.631829529685447,ridge
paramRKU,0.9763791999068421,ridge
paramRP,11.530067494081619,ridge
paramRQ,9.199707682967164,ridge
paramRSK,51.715150309190655,ridge
paramRSM,62.617982149035385,ridge
paramRT,3.13390854919562,ridge
paramRV,40.18179846173824,ridge
paramRZ,22.134311706339563,ridge
paramRZ1MAX,6.626178468867588,ridge
