feature,importance,model
param,1897.7688639744467,random_forest
system,279.41007675349033,random_forest
color,-297.1427241735976,random_forest
systemfusion,4.2447471262821,lasso
systemFV,0,lasso
systemint,24.548548554622066,lasso
colorgreen,0,lasso
colorred,1.1525674783006539,lasso
colorwhite,0,lasso
paramRKU,68.61551336984373,lasso
paramRP,21.031817972329453,lasso
paramRQ,8.094374384718499,lasso
paramRSK,78.75630688679475,lasso
paramRSM,102.31980733054984,lasso
paramRT,31.730724974932805,lasso
paramRV,0,lasso
paramRZ,8.716635866158187,lasso
paramRZ1MAX,33.59078670996644,lasso
systemfusion,13.350708468319928,ridge
systemFV,8.855474177237959,ridge
systemint,18.56243294583066,ridge
colorgreen,1.7757633845818594,ridge
colorred,6.364494784902735,ridge
colorwhite,8.520240164487777,ridge
paramRKU,54.47867709323839,ridge
paramRP,38.458970479036616,ridge
paramRQ,25.272209314273006,ridge
paramRSK,63.90738061295915,ridge
paramRSM,82.77554319712978,ridge
paramRT,24.837891258768288,ridge
paramRV,18.31369743761482,ridge
paramRZ,26.94445658195876,ridge
paramRZ1MAX,26.119081545580404,ridge
