feature,importance,model
param,1206.3848792504073,random_forest
system,-65.73561387268688,random_forest
color,-103.48363787453404,random_forest
systemfusion,0,lasso
systemFV,2.5656950710904516,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,79.26154113444906,lasso
paramRSM,33.925032232312816,lasso
paramRT,0,lasso
paramRV,40.427628065750795,lasso
paramRZ,3.2364344978384647,lasso
paramRZ1MAX,0,lasso
systemfusion,1.9439947728521367,ridge
systemFV,7.582023429145832,ridge
systemint,3.0114377737622835,ridge
colorgreen,5.727168529863531,ridge
colorred,4.54589938125069,ridge
colorwhite,6.764897686440307,ridge
paramRKU,4.215467754030777,ridge
paramRP,0.551772069991028,ridge
paramRQ,11.44073046459219,ridge
paramRSK,58.001092341173354,ridge
paramRSM,28.26095185660169,ridge
paramRT,3.4282789134891694,ridge
paramRV,38.0034044950692,ridge
paramRZ,14.470058603463993,ridge
paramRZ1MAX,1.3242224559463345,ridge
