feature,importance,model
param,3508.5453023664504,random_forest
system,852.9334816467392,random_forest
color,237.5359713015322,random_forest
systemfusion,10.695449215254634,lasso
systemFV,0,lasso
systemint,9.20107242720122,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,8.270439194708592,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,77.85018634632785,lasso
paramRSM,94.9151807880112,lasso
paramRT,0,lasso
paramRV,1.569323615546369,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,13.889313065170278,ridge
systemFV,3.362035383073113,ridge
systemint,12.543203649200642,ridge
colorgreen,3.742699645825607,ridge
colorred,3.2480440820644074,ridge
colorwhite,12.622928864253524,ridge
paramRKU,10.802587405015645,ridge
paramRP,20.27198895459141,ridge
paramRQ,8.633154909843919,ridge
paramRSK,45.082241957191094,ridge
paramRSM,53.62925508777775,ridge
paramRT,4.786263411585036,ridge
paramRV,22.391330375005804,ridge
paramRZ,18.890677785464582,ridge
paramRZ1MAX,6.812005655174109,ridge
