feature,importance,model
param,1093.982514109718,random_forest
system,80.29764086509971,random_forest
color,-6.608210662517042,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,25.1098042802223,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.007831052379994222,ridge
systemFV,0.03274566846158955,ridge
systemint,0.003750570865396393,ridge
colorgreen,0.031324859318203016,ridge
colorred,0.04016065619124004,ridge
colorwhite,0.06315596923464065,ridge
paramRKU,0.04437018549688121,ridge
paramRP,0.10518975701632756,ridge
paramRQ,0.08443680390218931,ridge
paramRSK,0.11547682213608101,ridge
paramRSM,0.6405652904068695,ridge
paramRT,0.09708273621364706,ridge
paramRV,0.1158457253704494,ridge
paramRZ,0.1486619674410795,ridge
paramRZ1MAX,0.0625066955750135,ridge
