feature,importance,model
param,1830.0737547513559,random_forest
system,-29.301084547345994,random_forest
color,-314.95828596090337,random_forest
systemfusion,12.098043315650218,lasso
systemFV,0,lasso
systemint,7.299376160230693,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,36.544804607251066,lasso
paramRP,27.057191443210336,lasso
paramRQ,9.000362773222076,lasso
paramRSK,70.74031763233656,lasso
paramRSM,109.16382479102158,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,2.905637114281317,lasso
paramRZ1MAX,0,lasso
systemfusion,14.661152785481239,ridge
systemFV,1.178868724464193,ridge
systemint,9.061334860419043,ridge
colorgreen,1.9956467441700623,ridge
colorred,2.8015210997302487,ridge
colorwhite,3.538046350630237,ridge
paramRKU,32.33695324196801,ridge
paramRP,36.210447862272396,ridge
paramRQ,20.387299523200838,ridge
paramRSK,60.840186054054534,ridge
paramRSM,92.46660920316107,ridge
paramRT,2.4812915249192473,ridge
paramRV,2.5437061047945275,ridge
paramRZ,15.889079663775842,ridge
paramRZ1MAX,2.055613305888666,ridge
