feature,importance,model
param,5297.479117218252,random_forest
color,-2831.7225038330703,random_forest
system,-3223.2537991220224,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,1.9790863337895159e-13,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.10552818704538279,ridge
systemFV,0.0022417256122677035,ridge
systemint,0.1329518991397905,ridge
colorgreen,0.022375054864263087,ridge
colorred,0.15826335527488541,ridge
colorwhite,0.250446722396223,ridge
paramRKU,0.12007708471477131,ridge
paramRP,0.1399019246410325,ridge
paramRQ,0.25245501829977485,ridge
paramRSK,0.7109759162867134,ridge
paramRSM,0.4048137342104588,ridge
paramRT,0.10321555427857257,ridge
paramRV,0.3158790827476084,ridge
paramRZ,0.18648770737560214,ridge
paramRZ1MAX,0.11816239011265146,ridge
