feature,importance,model
system,6718.353135181008,random_forest
param,1952.006880115527,random_forest
color,-572.5679166949081,random_forest
systemfusion,57.91257828200385,lasso
systemFV,26.910165925130265,lasso
systemint,65.11142284421521,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,122.92262551882133,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,54.522120657216455,ridge
systemFV,41.62600346229097,ridge
systemint,61.52770004679049,ridge
colorgreen,3.939017824074822,ridge
colorred,3.9236768323994062,ridge
colorwhite,13.05063438872883,ridge
paramRKU,13.22090744029191,ridge
paramRP,31.469783648790656,ridge
paramRQ,4.89629366517847,ridge
paramRSK,2.895820211572713,ridge
paramRSM,100.38201229503088,ridge
paramRT,15.906374847785493,ridge
paramRV,16.987637648080618,ridge
paramRZ,24.949636141506232,ridge
paramRZ1MAX,16.51695691839472,ridge
