feature,importance,model
system,4510.558378216095,random_forest
param,2049.7823851907747,random_forest
color,-810.0983338632187,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,5.296108470128511e-14,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.23967981182804798,ridge
systemFV,0.1776818893743373,ridge
systemint,0.1940974279487744,ridge
colorgreen,0.01682920198537737,ridge
colorred,0.12105828943306006,ridge
colorwhite,0.0578941602400932,ridge
paramRKU,0.09231323381810431,ridge
paramRP,0.025252004848550853,ridge
paramRQ,0.03256767247390716,ridge
paramRSK,0.3431712362288544,ridge
paramRSM,0.38003116017641236,ridge
paramRT,0.03623708283272658,ridge
paramRV,0.054206810388999216,ridge
paramRZ,0.01070181162048418,ridge
paramRZ1MAX,0.0011235968000322867,ridge
