feature,importance,model
param,917.1600345249374,random_forest
system,-48.06290129786026,random_forest
color,-121.54732211039247,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,29.287869334936033,lasso
paramRP,13.060074270575102,lasso
paramRQ,0,lasso
paramRSK,23.584829016662734,lasso
paramRSM,73.92118927000683,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,1.211026218612948,ridge
systemFV,6.95043041374807,ridge
systemint,8.545045476031522,ridge
colorgreen,5.997473750717916,ridge
colorred,2.8074884848173056,ridge
colorwhite,9.225789489622274,ridge
paramRKU,23.272203655526933,ridge
paramRP,24.086398239923046,ridge
paramRQ,8.060796851393011,ridge
paramRSK,19.752838116006348,ridge
paramRSM,42.510451202682106,ridge
paramRT,2.9739135295810897,ridge
paramRV,12.053314857412094,ridge
paramRZ,14.796036076260437,ridge
paramRZ1MAX,3.6895748237460233,ridge
