feature,importance,model
param,1392.9892051796085,random_forest
color,-138.54748913169328,random_forest
system,-237.79717417765923,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,70.73764741887973,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,28.939233062007233,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,2.56851775400224,ridge
systemFV,1.203781274022603,ridge
systemint,4.739320509727688,ridge
colorgreen,7.050054752303788,ridge
colorred,0.6847818621901687,ridge
colorwhite,7.538796223619824,ridge
paramRKU,56.899899217304075,ridge
paramRP,1.5067160385424891,ridge
paramRQ,3.606060710530596,ridge
paramRSK,38.41828936381296,ridge
paramRSM,15.850518148851885,ridge
paramRT,3.417872889999959,ridge
paramRV,5.524738077944576,ridge
paramRZ,0.8159953181625127,ridge
paramRZ1MAX,3.828286738087744,ridge
