feature,importance,model
param,23105.923421371786,random_forest
system,-1362.5235369848197,random_forest
color,-3081.477755184703,random_forest
systemfusion,32.96665904700613,lasso
systemFV,6.00546668970664,lasso
systemint,71.5923758167871,lasso
colorgreen,50.42835443015159,lasso
colorred,0,lasso
paramRKU,375.6686488902339,lasso
paramRP,51.25210272160761,lasso
paramRQ,94.51282296045197,lasso
paramRSK,369.51967457966276,lasso
paramRSM,404.38408145970845,lasso
paramRT,36.65546965796747,lasso
paramRV,0,lasso
paramRZ,21.23217293642715,lasso
paramRZ1MAX,0,lasso
systemfusion,34.763246659400416,ridge
systemFV,24.77185939004483,ridge
systemint,83.82221630540144,ridge
colorgreen,59.20927385446888,ridge
colorred,1.8315185804424872,ridge
paramRKU,324.7574511638404,ridge
paramRP,101.81523148926594,ridge
paramRQ,69.61208951916608,ridge
paramRSK,318.66658175727866,ridge
paramRSM,352.5725119559407,ridge
paramRT,17.095777038142568,ridge
paramRV,52.37544518613702,ridge
paramRZ,74.3779446809053,ridge
paramRZ1MAX,29.161196666818274,ridge
