feature,importance,model
param,712.643241708371,random_forest
system,6.893392827554855,random_forest
color,-144.75709180894867,random_forest
systemfusion,4.543159107467463,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,33.31828346593812,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,63.63093343428579,lasso
paramRSM,24.1396280447848,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,6.652150225312817,ridge
systemFV,4.504944191327771,ridge
systemint,5.500397427808519,ridge
colorgreen,0.39195154965173334,ridge
colorred,2.9798524614503425,ridge
colorwhite,4.762166051886189,ridge
paramRKU,34.72967578109717,ridge
paramRP,9.545392219737606,ridge
paramRQ,2.037563593460291,ridge
paramRSK,48.289658664021374,ridge
paramRSM,22.64902016357842,ridge
paramRT,2.9106225421424314,ridge
paramRV,3.4891356856584816,ridge
paramRZ,6.693918073869474,ridge
paramRZ1MAX,2.01101630541152,ridge
