feature,importance,model
param,161.36501681320442,random_forest
system,-134.32344766163249,random_forest
color,-172.80308563082002,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.06688564645360189,ridge
systemFV,0.03643399256650024,ridge
systemint,0.06210560862658067,ridge
colorgreen,0.038866647051808034,ridge
colorred,0.023073956138051435,ridge
colorwhite,0.023352301670293965,ridge
paramRKU,0.01665757744121222,ridge
paramRP,0.024827555841604933,ridge
paramRQ,0.04952848642014886,ridge
paramRSK,0.346160434830196,ridge
paramRSM,0.07987475402330137,ridge
paramRT,0.053685723458729975,ridge
paramRV,0.033875674058051336,ridge
paramRZ,0.027789913692906648,ridge
paramRZ1MAX,0.05462434669533777,ridge
