feature,importance,model
param,2827.2904857985363,random_forest
system,359.2526457673592,random_forest
color,-291.9200944457278,random_forest
systemfusion,26.508134632831084,lasso
systemFV,0,lasso
systemint,15.048921488163332,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,21.20567912142981,lasso
paramRP,0,lasso
paramRQ,6.558727923897353,lasso
paramRSK,109.44487801196958,lasso
paramRSM,103.47894888237853,lasso
paramRT,0,lasso
paramRV,27.119870096869782,lasso
paramRZ,3.370011533013863,lasso
paramRZ1MAX,0,lasso
systemfusion,25.2816425414832,ridge
systemFV,2.57215232089853,ridge
systemint,15.747776407586201,ridge
colorgreen,0.4234686753393343,ridge
colorred,8.14556285733166,ridge
colorwhite,1.561082849757864,ridge
paramRKU,17.344331792238673,ridge
paramRP,10.527320047555799,ridge
paramRQ,25.558309924816797,ridge
paramRSK,76.21491026075097,ridge
paramRSM,72.63207718264003,ridge
paramRT,3.6401867553353093,ridge
paramRV,40.14863973371092,ridge
paramRZ,23.85043275624749,ridge
paramRZ1MAX,5.468431055172536,ridge
