feature,importance,model
param,4071.6749437409685,random_forest
system,433.18568235870976,random_forest
color,-1028.8254366788979,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.004194484737460295,ridge
systemFV,0.015779031439434685,ridge
systemint,0.009736600805690677,ridge
colorgreen,0.012937255063083844,ridge
colorred,0.009717243886331314,ridge
colorwhite,0.010572200254174114,ridge
paramRKU,0.10014810688101375,ridge
paramRP,0.0625532393618542,ridge
paramRQ,0.04424251584623646,ridge
paramRSK,0.41425430101944755,ridge
paramRSM,0.269477939633449,ridge
paramRT,0.07029746339850779,ridge
paramRV,0.15219667354892688,ridge
paramRZ,0.10756598064101332,ridge
paramRZ1MAX,0.09870936241062361,ridge
