feature,importance,model
param,6840.989904997028,random_forest
system,1243.920021044788,random_forest
color,-748.9327519595937,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,58.300547373974,lasso
paramRSM,11.617523362013353,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.057367860383315185,ridge
systemFV,0.013096323310549959,ridge
systemint,0.050850704427078855,ridge
colorgreen,0.03734914890191724,ridge
colorred,0.08134137600922035,ridge
colorwhite,0.05428320432977482,ridge
paramRKU,7.303003552283787e-4,ridge
paramRP,0.04611475163845938,ridge
paramRQ,0.06187486606856466,ridge
paramRSK,0.3893280351972354,ridge
paramRSM,0.27927625727932215,ridge
paramRT,0.05952710540520251,ridge
paramRV,0.2083169806178429,ridge
paramRZ,0.11563914232868643,ridge
paramRZ1MAX,0.10890050005129169,ridge
