feature,importance,model
param,5336.341808513237,random_forest
system,1943.8953752566913,random_forest
color,-1247.9164154758912,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.09876936852156944,ridge
systemFV,0.0549044105833072,ridge
systemint,0.06482361362280019,ridge
colorgreen,0.013853184473607692,ridge
colorred,0.043567875502854354,ridge
colorwhite,0.05408129944001458,ridge
paramRKU,0.1200328430110421,ridge
paramRP,0.03956843890414309,ridge
paramRQ,0.009482549432210653,ridge
paramRSK,0.35682919139828617,ridge
paramRSM,0.28526018343307874,ridge
paramRT,0.05515515667891676,ridge
paramRV,0.2073513784595698,ridge
paramRZ,0.11461509395822472,ridge
paramRZ1MAX,0.08882440476055023,ridge
