feature,importance,model
param,2322.3861087864952,random_forest
system,172.38123728663314,random_forest
color,-371.496468411219,random_forest
systemfusion,14.331913001411438,lasso
systemFV,0,lasso
systemint,16.259286391641012,lasso
colorgreen,0,lasso
colorred,0.6470990034073403,lasso
colorwhite,0,lasso
paramRKU,41.42361152578138,lasso
paramRP,24.489110383785647,lasso
paramRQ,7.709439315972567,lasso
paramRSK,81.99404298819282,lasso
paramRSM,119.85904289695205,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,4.831897385863389,lasso
paramRZ1MAX,0,lasso
systemfusion,18.91499212991394,ridge
systemFV,3.9800734756447333,ridge
systemint,15.49146064670152,ridge
colorgreen,1.3276718881124554,ridge
colorred,7.959662887720144,ridge
colorwhite,2.4513111930861573,ridge
paramRKU,36.86117838999275,ridge
paramRP,37.75859598614072,ridge
paramRQ,22.050429357348847,ridge
paramRSK,70.51307368671489,ridge
paramRSM,101.86961856696408,ridge
paramRT,2.366192665313014,ridge
paramRV,8.150484591795257,ridge
paramRZ,20.469454545496284,ridge
paramRZ1MAX,1.6055547203574159,ridge
