feature,importance,model
param,506.0612421496594,random_forest
system,-58.508684488945526,random_forest
color,-69.04828913103437,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,43.101336498520965,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,2.930634525677161,ridge
systemFV,0.8937844246707641,ridge
systemint,1.439243926492231,ridge
colorgreen,0.1626300906112562,ridge
colorred,2.773740650693202,ridge
colorwhite,2.560431671654306,ridge
paramRKU,9.211751272410243,ridge
paramRP,5.410836642640276,ridge
paramRQ,4.381698842333613,ridge
paramRSK,10.415009067311919,ridge
paramRSM,30.912964183740623,ridge
paramRT,2.545842676671929,ridge
paramRV,3.9946202357667566,ridge
paramRZ,4.425429018223102,ridge
paramRZ1MAX,2.5517686950006455,ridge
